X,Y
0,-0.12773188999324372
0,-0.1998076118970074
0,-0.30771849817222885
0,-0.33532109300231955
0,-0.434389080235901
0,-0.4370363416296911
0,-0.46316629849694413
0,-0.5148356550444876
-0.12664023105555308,-0.4623688775091627
-0.1325575892906473,-0.5312279929343549
-0.1775408555824886,-0.5655355429076407
-0.24529582549397594,-0.5091249348144558
-0.22770517841596152,-0.5890152212913848
-0.20779050375553249,-0.5665870111094824
-0.2054490313660597,-0.6271318236012945
-0.18519417952170208,-0.6850162595462443
-0.19779109247400617,-0.7904094667196346
-0.22359731485802403,-0.8088118111774852
-0.2123880128539174,-0.7791254080108407
-0.25454449587815314,-0.797064241407068
-0.3018138558852449,-0.8048589466931876
-0.3112195191150665,-0.8793090705664132
-0.3452301630926668,-0.8276483796661891
-0.29522921003245195,-0.9339971366346544
-0.29320287561465275,-0.8211908765682175
-0.2758159584504652,-0.8253170188512788
-0.29787415386611776,-0.7806194738528729
-0.31147404751443303,-0.7377177023880941
-0.400336335309585,-0.7269577671179719
-0.4155367558004742,-0.729273960610877
-0.4429829177328185,-0.6885158096060465
-0.4803838345898702,-0.6474244108143287
-0.511088011498293,-0.6750442511237028
-0.5045829057066104,-0.7001368166262287
-0.5120303579834167,-0.6648972982930562
-0.5453762752258555,-0.7205154331682703
-0.573429323862899,-0.7768342190273099
-0.5089557223848519,-0.7602659919213234
-0.4685016342465336,-0.6696156869993694
-0.5269493691108613,-0.6581733906961591
-0.5307501923598549,-0.6188023341234533
-0.5203430557654155,-0.6956221289845219
-0.537501298383948,-0.7128131510438956
-0.5048933985097809,-0.7598939074446477
-0.5089275801894304,-0.7295006858546493
-0.46167059833755497,-0.7167978394501779
-0.45805608140681137,-0.7592305937678631
-0.4317501254903285,-0.7471849826264623
-0.4478584728766193,-0.6998789480851316
-0.42953458279141155,-0.7226187885155213
-0.4147258546879752,-0.6676401018003459
-0.460351032414442,-0.6877358383088621
-0.47468322165241794,-0.8974669373745046
-0.4666977867916619,-0.8446104328548558
-0.44327990284637947,-0.9088728147282243
-0.4665994010419841,-0.8379431300795231
-0.48075911574347024,-0.7973015452351778
-0.4661085374698679,-0.8014057072362337
-0.43427903733677,-0.7797509938185148
-0.42139481588462796,-0.8416982950417369
-0.4193316317581317,-0.8440109146791801
-0.4108087777766411,-0.7834108990127413
-0.4394329079048028,-0.8650501782123847
-0.4327720274929604,-0.8464489660134552
-0.4281958280630276,-0.8242820444212215
-0.4028376675469371,-0.8559182883030951
-0.3942705668423761,-1.0
-0.3880369259602641,-0.9911858111070191
-0.40272452298763434,-0.9291586812813462
-0.43609381260488733,-0.8501285162151786
-0.4600543820807123,-0.8612321431231718
-0.47638850963324514,-0.8518772163285043
-0.5518485985631714,-0.8566037881372546
-0.5907676479410565,-0.9127778420251655
-0.55057899062806,-0.9042593170199256
-0.5490262070959296,-0.8653339551721007
-0.5240265391123381,-0.9697691658498886
-0.5604557541244254,-0.9645450985386209
-0.5162886800098373,-0.9703811622893803
-0.5318514574614422,-0.8185747333582218
-0.4897684670186377,-0.7899899751741295
-0.490791024167439,-0.7692464524502977
-0.5003169880862596,-0.7504634546012301
-0.5204097001783082,-0.7892232927897493
-0.531524176630391,-0.8293676216237957
-0.5184705348067474,-0.9172207445677607
-0.49657529041800574,-1.0
-0.48724111366245015,-1.0
-0.48127469073100415,-0.9472727473218256
-0.455304605976886,-0.8404018962969182
-0.4587643455481566,-0.8280452362059565
-0.45643616693912864,-0.8115571399224715
-0.4687319091133366,-0.8349050620598056
-0.4714103342576378,-0.8362462134265944
-0.492071057405558,-0.8469772597529724
-0.4857686265023593,-0.8294580945044547
-0.4908152714611495,-0.8202920694045167
-0.49614645281825176,-0.8499609625209629
-0.5018374014106749,-0.862507261981305
-0.5306351579393106,-0.8768257531977557
-0.55633007136575,-0.8697976784664812
-0.5453757230415367,-0.9394537486747514
-0.536972523264449,-0.9816427367689341
-0.5095792391379578,-0.9767993705466904
-0.4952508292569037,-0.9699289258706926
-0.500264223052866,-0.9660386072761535
-0.49189009407825046,-0.9829044475646308
-0.48916057696712556,-0.992459618960897
-0.484672275847636,-0.8965977612748087
-0.476315166273827,-0.869112031026443
-0.48327932191304424,-0.8968438177335647
-0.4823627780334856,-0.9453570369535398
-0.4936544114647533,-0.9549309159319441
-0.4868714734262224,-0.958456922902866
-0.5056886429152583,-0.8973360950027525
-0.5315338752794136,-0.8804848813349773
-0.5644007564181861,-0.9256148699422768
-0.6046097408546306,-0.9524253379487424
-0.6097939809997996,-0.8779447038733693
-0.5944509111656373,-0.8810167561250865
-0.5668847909449702,-0.8856286170861848
-0.5378894049142637,-0.92204727446569
-0.5007130829113918,-0.9549896519734971
-0.5447546057388601,-0.9915751567795831
-0.5687890056174733,-1.0
-0.5502131666918589,-0.9775839033025291
-0.5453039916315084,-1.0
-0.5376157694223364,-1.0
-0.5356355636813815,-1.0
-0.5358507839242507,-1.0
-0.5330692956005243,-0.9514748595095885
-0.5163820127813951,-0.9206069623209215
-0.5230018154505249,-0.9153722948540104
-0.5428569045873587,-0.9373367417358005
-0.5666166665441709,-0.9674653238003069
-0.6100358183562917,-0.9467288376185733
-0.6297822090017978,-0.9618959278964041
-0.6029959101136234,-1.0
-0.5950482575670559,-1.0
-0.6144116120679243,-1.0
-0.643716495903536,-0.9837356058979576
-0.6245715179851654,-0.9678367682439202
-0.6133841330601976,-0.9183983254875027
-0.6034184468916023,-0.8958921560157964
-0.5953929129688982,-0.8465860713005842
-0.5773498907545533,-0.8231707133559534
-0.5845172399437677,-0.7609977659240441
-0.606190890422607,-0.6706252042926596
-0.5963391977441064,-0.7492945553032517
-0.5715633359303741,-0.8411892903081106
-0.5644312569685976,-0.8532374981974272
-0.5737918316160685,-0.8488857836668211
-0.5735983623567414,-0.8423953950626804
-0.5641124134876113,-0.8718369289063641
-0.5594162331753438,-0.8604884941167346
-0.5897709713067445,-0.8431273523475407
-0.6116148908310002,-0.7514825914446057
-0.6296095198942219,-0.8018187201856204
-0.6236409435883732,-0.8031304201967316
-0.6214690978958444,-0.7923955332490573
-0.6216581747279606,-0.7901491307437255
-0.6259139906669777,-0.8661922084874603
-0.615438776529844,-0.9073039455777708
-0.6066334733547037,-0.9378038264715933
-0.5810027198684237,-0.9780925121367768
-0.5715481120133443,-0.9094234725983666
-0.571140397801404,-0.9843643906666697
-0.5829195481126828,-1.0
-0.5976483372270636,-1.0
-0.6008906719411368,-1.0
-0.5927704444628016,-1.0
-0.5942329404668194,-1.0
-0.6153489700947977,-1.0
-0.6278617044299435,-1.0
-0.5992570865692363,-1.0
-0.633974969825412,-1.0
-0.6001205768030686,-1.0
-0.5699534545739168,-1.0
-0.5694094388572828,-1.0
-0.5639295258441201,-0.9904021049546405
-0.5348478090336019,-0.994690922464414
-0.49973429236322336,-1.0
-0.5269332836709186,-1.0
-0.5350073063107404,-1.0
-0.5507094693947319,-1.0
-0.5409361408627795,-1.0
-0.5314385499024921,-1.0
-0.5360653513786897,-1.0
-0.4675612821900286,-1.0
-0.46076814512801484,-0.8998333695577615
-0.45770845834039076,-0.9701337501815905
-0.4501365092939418,-0.9552081604706824
-0.44268685302587873,-0.8827254992907514
-0.42918306155451924,-0.7922209890447108
-0.4566376508294931,-0.8384355745153809
-0.4116747967312254,-0.9444062015291548
-0.37488287296932543,-1.0
-0.34524797674574803,-1.0
-0.3877104237245644,-1.0
-0.41814151319777015,-1.0
-0.44704175336869184,-1.0
-0.5055136203324628,-0.9731517311543703
-0.5525400880333106,-0.934982312419778
-0.5737515184327977,-0.8774619839599257
-0.5783468764290509,-0.799407627926646
-0.5896975760320686,-0.73851410317941
-0.5894675220242154,-0.6584892187111994
-0.5825490583198466,-0.5753237191036544
-0.5901144734097006,-0.5387955660580569
-0.5985828591507975,-0.5093204084991346
-0.5986889406341798,-0.4913562821273719
-0.5542215015181882,-0.464465598824609
-0.5469108269405145,-0.43473941980749753
-0.5348255225130268,-0.38477095169457504
-0.541084520439386,-0.3841575169469062
-0.5115390242750762,-0.4144146642732102
-0.5505312904752477,-0.41762114287226926
-0.5796933387932028,-0.4460648280840764
-0.5637223429267407,-0.4654607996637402
-0.5668817091568717,-0.4714870924066351
-0.5405595980589429,-0.4896352543303885
-0.5528090400900056,-0.5048798007581079
-0.5609586847989129,-0.5175975022003134
-0.5811696788613429,-0.5340288414980079
-0.5831539969210188,-0.6359615529977155
-0.6027283076722508,-0.633391739005826
-0.5619070420339752,-0.6233681803482707
-0.5720148672898361,-0.6203547396066396
-0.5456982822190889,-0.592999373055081
-0.5562202243564912,-0.5886859105193804
-0.547463374140411,-0.5595966463263112
-0.5504806427182807,-0.5527501540700678
-0.5098099969914272,-0.4752343110099941
-0.5051444598572556,-0.481467381621662
-0.5163297658619754,-0.44456715407788017
-0.4593475529275397,-0.3954898660022542
-0.46231801829607516,-0.4054974820547633
-0.4445175260551919,-0.4167688416140552
